"Pay securely with MADA, credit cards or with Apple Pay","ادفع بأمان باستخدام مدى أو بطاقات الائتمان أو أبل باي"
"Pay securely with MADA and credit cards", "ادفع بأمان مع مدى وبطاقات الائتمان"
"Refund with Amwal", "استرداد مع أموال"
"Are you sure you want to refund %1 with Amwal Payments", "هل أنت متأكد أنك تريد استرداد %1 مع أموال"
"An error occurred while refunding the order", "حدث خطأ أثناء استرداد الطلب"
"Quick checkout (Amwal)", "الدفع السريع (أموال)"
"One or more selected products are currently not available.", "أحد المنتجات المحددة غير متوفر حاليًا."
"The requested qty is not available", "الكمية المطلوبة غير متوفرة"
"Pay securely with Apple Pay.", "ادفع بأمان باستخدام أبل باي."
"Bank Installments (Amwal)", "خطط تقسيط بنكية (أموال)"
"0% bank installment, up to 12 months with instant approval.", "خطط تقسيط بنكية فورية الي ١٢ شهر بدون رسوم"
"Order Summary","ملخص الطلب"
"Total:","الإجمالي:"
"Items","العناصر"
"Continue shopping","متابعة التسوق"
"Split in", "قسمها على"
"interest-free payments of", "بدون فوائد بقيمة"
"Learn more","اعرف أكثر"
